programa,lista_declaracoes_externas,declaracao_externa,declaracao_tipo,declaracao_funcao,declaracao_variavel,idd,lista_identificadores,n_funcao,tipo,idu,new_block,lista_parametros,num,declaracao_campos,marcador_funcao,bloco,lista_declaracao_variaveis,lista_comandos,comando,valor_esquerdo,mw,expressao,expressao_l,expressao_r,expressao_y,expressao_f,true,false,chr,str,id,marcador_c,mt,lista_expressoes,me,TYPE,FUNCTION,VAR,$end,ID,EQUALS,LEFT_PARENTHESIS,COLON,COMMA,ARRAY,STRUCT,INTEGER,CHAR,BOOLEAN,STRING,LEFT_SQUARE,LEFT_BRACES,SEMI_COLON,RIGHT_PARENTHESIS,RIGHT_BRACES,DOT,PLUS_PLUS,MINUS_MINUS,TIMES,DIVIDE,PLUS,MINUS,LESS_THAN,LESS_OR_EQUAL,GREATER_THAN,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,AND,OR,RIGHT_SQUARE,NUMERAL,IF,WHILE,DO,BREAK,CONTINUE,RETURN,OF,NOT,TRUE,FALSE,CHARACTER,STRINGVAL,ELSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23,,,,,,,,,,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,53,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13,-13,-13,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,-12,-12,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16,,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17,-17,-17,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67,,,,,77,72,,,,,,,66,68,73,,,,,,,,,,,,,,,,,,9,,28,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,,,,,,69,70,71,74,75,76,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26,,-26,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,,,,,,-26,-26,-26,-26,-26,-26,,,,,,,
,,,,,,,,,,77,72,,,,,,,,79,73,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,-18,,,78,,,,,,,,,,,,,,,,,,69,70,71,74,75,76,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25,,-25,,,,,,,,,,,,-25,,,,,,,,,,,,,,,,,,,,,-25,-25,-25,-25,-25,-25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28,,,,,,,,,,,,-28,,,-28,,,,,,,,,,,,,,,,,,-28,-28,-28,-28,-28,-28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,-34,,,,,,,,,,,,-34,,,,,,,,,,,,,,,,,,,,,-34,-34,-34,-34,-34,-34,,,,,,,
,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,86,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
